være;Jeg er glad.;to be;I am happy.;
en nasjon;Norge er en selvstendig nasjon.;nation;Norway is an independent nation.;
finansiere;Foreldrene finansierer utdanningen hans.;finance;The parents finance his education.;
en innflytelse;Hun har stor innflytelse i firmaet.;influence;She has great influence in the company.;
en pressemelding;Selskapet skriver en viktig pressemelding.;press release;The company writes an important press release.;
våt;Jakken min er våt etter regnet.;wet;My jacket is wet after the rain.;
straks;Jeg kommer straks tilbake til deg.;immediately;I am coming back to you immediately.;
en menneskerettighet;Ytringsfrihet er en viktig menneskerettighet.;human right;Freedom of speech is an important human right.;
en hær;En stor hær beskytter landet.;army;A large army protects the country.;
en dans;Vil du bli med på en dans?;dance;Do you want to join a dance?;
en sans;Hun har en god sans for detaljer.;sense;She has a good sense for details.;
et måltid;Vi spiser et varmt måltid sammen.;a meal;We eat a warm meal together.;
kjempeflott;Det er kjempeflott at du er her.;wonderful;It is wonderful that you are here.;
en guide;En guide forteller om byens historie.;guide;A guide tells about the city's history.;
